#{"t_start": 1732006326.2208889, "env_id": null}
r,l,t,level
856.239365,5607,369933.609137,7
355.310639,1221,370026.597844,7
686.393105,5363,370444.644388,7
221.351757,1872,370585.64247,7
127.791646,2935,370805.598183,7
-288.887666,4623,371152.397825,7
-245.151707,5412,371556.238302,7
436.61987,5607,371980.581249,7
188.692449,4336,372310.216212,7
654.120022,4219,372631.712621,7
619.957705,4466,372971.357319,7
588.098439,5402,373383.83701,7
468.588917,4369,373715.05525,7
446.027235,6030,374174.66413,7
2236.018076,10630,375005.594207,7
831.984601,9601,375745.421219,7
1219.631552,14262,376841.160563,7
1525.035848,7064,377387.516081,7
1125.248295,6814,377909.306712,7
1501.280443,12128,378838.141524,7
-0.784699,12157,379779.229176,7
320.811915,1561,379897.999911,7
855.97576,3593,380175.653231,7
255.853879,1727,380305.701056,7
265.399451,1783,380439.37993,7
-626.653153,7883,381031.759382,7
-193.717576,3491,381292.917425,7
-253.970111,3976,381593.292157,7
382.959203,6023,382051.355672,7
627.113091,3757,382335.895414,7
572.761924,4349,382666.797016,7
579.256858,5138,383058.351867,7
487.542797,4570,383404.807839,7
455.862929,5870,383851.130442,7
2162.4768,11247,384731.879991,7
1006.38899,8505,385387.985605,7
516.536541,17241,386716.536117,7
1574.883025,8122,387346.799132,7
465.821216,7255,387899.992498,7
1142.737194,15791,389110.279747,7
759.60872,7301,389676.52669,7
341.23069,1418,389784.295527,7
837.705819,3610,390062.627587,7
192.8879,2044,390217.022812,7
262.152962,1644,390340.322011,7
100.524946,3028,390566.412356,7
-257.922351,4912,390933.447665,7
-334.95661,6409,391418.750859,7
-111.563613,10948,392249.851274,7
287.747725,7181,392792.915404,7
583.023524,4811,393157.489333,7
561.988274,4935,393534.390579,7
71.932205,8880,394208.952955,7
615.243448,5037,394593.080506,7
2364.389883,9755,395353.795999,7
1125.679206,6871,395881.111372,7
1568.39217,13886,396952.46539,7
1659.385206,6860,397483.775345,7
711.033687,3930,397784.848753,7
1700.422426,9834,398537.308481,7
630.824365,8118,399162.809335,7
376.07868,1153,399250.185696,7
962.771826,2769,399462.945485,7
254.858687,1212,399548.307324,7
311.435,1286,399636.343212,7
27.382921,3450,399874.678806,7
-195.166669,5706,400265.84846,7
553.701317,4442,400575.71469,7
503.664415,5757,400979.398642,7
380.027104,3830,401247.22823,7
502.696447,4274,401546.222538,7
420.74544,6197,401983.457362,7
657.731437,3537,402233.199765,7
69.165449,2675,402418.549701,7
2343.413728,9842,403129.729645,7
1274.479812,10608,403879.829698,7
1131.899848,16787,405069.785313,7
1500.172363,8786,405696.182913,7
1076.615532,9933,406397.103641,7
975.990099,14298,407415.959578,7
-105.953605,14812,408465.084181,7
31.812646,4540,408783.191877,7
854.168121,4103,409075.538484,7
286.764373,1392,409173.664168,7
243.845638,1426,409273.236814,7
-326.983795,5752,409671.154797,7
205.06553,1583,409779.005901,7
685.975878,3516,410024.707889,7
726.881543,3694,410284.397993,7
560.0567,5198,410647.120304,7
244.166246,6517,411101.477969,7
740.543735,4079,411387.531276,7
622.42894,4078,411672.819134,7
711.943546,4074,411955.532664,7
2415.881512,8562,412575.668703,7
1223.554483,13025,413494.77626,7
1112.14524,16400,414659.930649,7
1589.276817,7513,415198.208426,7
1504.238512,10717,415952.603656,7
1224.521622,12497,416834.479364,7
863.160885,6694,417313.095432,7
319.675712,1647,417428.735969,7
908.730132,3408,417670.797619,7
150.383912,2385,417835.746445,7
294.081874,1515,417940.503194,7
-20.950791,3815,418202.436379,7
162.816236,2268,418358.162401,7
605.907224,4181,418649.754113,7
-70.27966,9714,419326.19673,7
2.051519,8204,419895.279943,7
477.403931,5135,420255.507487,7
565.331589,4973,420605.163165,7
587.602316,4350,420908.489789,7
769.352729,3278,421140.059465,7
2126.821862,9692,421842.646392,7
407.348633,6776,422321.589445,7
738.73539,19077,423682.604174,7
245.239941,7309,424206.455902,7
1225.11039,9365,424873.421458,7
857.023868,7165,425381.936214,7
573.329839,7635,425925.118665,7
340.866862,1418,426024.289756,7
976.295654,2836,426226.504139,7
78.416409,1371,426322.229794,7
97.140401,3258,426546.685488,7
-41.364458,3085,426760.528166,7
-1077.647478,12580,427629.320606,7
-677.20742,12793,428529.258491,7
-454.856643,5918,428942.956178,7
-359.774975,8989,429570.696339,7
478.949682,5957,429992.751054,7
472.989023,5341,430366.994715,7
105.666061,7996,430930.5933,7
-337.479939,5889,431342.368673,7
1366.849615,19444,432763.48404,7
336.146685,5772,433180.013419,7
667.487664,17842,434454.083676,7
1174.446223,10768,435234.188521,7
1076.463089,6705,435712.069882,7
-323.994439,4739,436044.696537,7
352.894745,10302,436780.033709,7
-133.227997,1362,436876.276194,7
536.619691,7308,437397.078865,7
229.158179,1832,437524.217753,7
166.992992,2413,437692.242311,7
-211.111507,6023,438112.70242,7
-131.649688,4533,438424.027243,7
472.952614,3942,438698.695906,7
-206.501784,4790,439033.73222,7
-72.519029,1148,439113.587101,7
-418.591105,4204,439409.08466,7
-232.398614,2340,439574.797972,7
-1117.797673,19826,440954.111557,7
154.696797,6890,441433.391803,7
1866.215314,14628,442487.94271,7
265.058914,15638,443592.796531,7
1357.437446,14995,444654.75948,7
1024.719387,9576,445338.68812,7
989.652063,14624,446370.493059,7
-181.505954,21466,447890.440921,7
576.259301,7801,448450.38558,7
198.642818,2850,448648.585778,7
647.529729,6124,449087.640017,7
223.718569,2054,449231.345681,7
220.359705,2171,449381.89757,7
143.470565,2481,449552.741941,7
-151.586185,3275,449778.137352,7
343.441011,4174,450068.144491,7
684.211572,4224,450363.753214,7
264.604031,2796,450557.819356,7
131.639159,1617,450670.724521,7
635.909087,5180,451031.813059,7
-169.804903,8226,451603.769068,7
-315.452959,8569,452203.672878,7
2326.736151,9819,452909.635737,7
-337.133142,6925,453400.779942,7
1456.825015,12614,454298.699681,7
1468.565491,7903,454864.437166,7
725.154231,5738,455272.048315,7
843.445971,16494,456438.377147,7
493.06096,10112,457157.770052,7
356.22412,1213,457244.21146,7
886.24878,3556,457496.911919,7
-3.79595,2375,457661.38521,7
248.564544,1838,457788.962794,7
190.919687,2035,457929.517223,7
54.875046,3266,458152.49535,7
450.90395,4632,458475.058397,7
697.770967,4004,458755.992297,7
234.205567,4042,459038.431716,7
697.806777,3588,459290.975726,7
644.71879,5114,459651.248787,7
342.600643,6364,460096.391309,7
61.309201,9287,460739.027373,7
1883.478397,7388,461270.538772,7
680.468948,13752,462237.612246,7
1399.300233,10973,463016.674602,7
